klasse	attribuut	type	kard	lengte	patroon	formeel patroon	meeteenheid	min	max
ActiviteitRestcategorie	basisVergunningNummer	CharacterString	1						
ActiviteitRestcategorie	datumVergunningOfMelding	Date	1						
ActiviteitRestcategorie	datumLaatsteWijziging	Date	1						
ActiviteitRestcategorie	omschrijving	CharacterString	0..1						
ActiviteitRestcategorie	bevoegdGezag	BevoegdGezag	0..1						
ActiviteitRestcategorie	vergunningsPlicht	Boolean	1						
ActiviteitRestcategorie	balActiviteit	CharacterString	0..*						
AmmoniakKoelinstallatie_TeBerekenenAfstand	werktemperatuur	Real	0..1						
AmmoniakKoelinstallatie_TeBerekenenAfstand	hoeveelheidsKlasseAmmoniak	HoeveelheidsKlasseAmmoniak	0..1						
AmmoniakKoelinstallatie_VasteAfstandVergunningplicht	werktemperatuur	Real	0..1						
AmmoniakKoelinstallatie_VasteAfstandVergunningplicht	hoeveelheidsKlasseAmmoniak	HoeveelheidsKlasseAmmoniak	0..1						
BKLActiviteit	basisVergunningNummer	CharacterString	1						
BKLActiviteit	datumVergunningOfMelding	Date	1						
BKLActiviteit	datumLaatsteWijziging	Date	1						
BKLActiviteit	vergunningsPlicht	Boolean	1						
BKLActiviteit	bevoegdGezag	BevoegdGezag	0..1						
BKLActiviteit	balActiviteit	CharacterString	0..*						
BehandelenRegelenMetenAardgas_VasteAfstandGeenVergunningplicht	ontwerpCapaciteit	Real	0..1						
BehandelenRegelenMetenAardgas_VasteAfstandGeenVergunningplicht	werkdruk	Real	0..1						
BehandelenRegelenMetenAardgas_VasteAfstandGeenVergunningplicht	opstellingsUitvoering	OpstellingsUitvoeringAardgas	0..1						
OpslagOntplofbaarADR1.1Civiel	nettoExplosieveMassa	Real	0..1						
OpslagOntplofbaarADR1.3Civiel	nettoExplosieveMassa	Real	0..1						
OpslagSevesoHoeveelheidBuitenSevesoInrichting	kritischeTemperatuur	Real	0..1						
OpslagSevesoHoeveelheidBuitenSevesoInrichting	kookTemperatuur	Real	0..1						
OpslagSevesoHoeveelheidBuitenSevesoInrichting	mediaanLetaleConcentratie	Real	0..1						
OpslagSevesoHoeveelheidBuitenSevesoInrichting	dampspanning	Real	0..1						
OpslagSevesoHoeveelheidBuitenSevesoInrichting	categorieGiftigeStof	CategorieGiftigeStof	0..1						
OpslagVerpakt_TeBerekenenAfstandVergunningplicht	beschermingsniveau	BeschermingsniveauhoofdgroepTabelB3	0..1						
OpslagVerpakt_VasteAfstandVergunningplicht	beschermingsniveauConformTabelB3	BeschermingsniveauTabelB3	1						
OpslagVuurwerkF1F2F3T1T2	hoeveelheidVuurwerk	Real	0..1						
OpslagVuurwerkF1F2F3T1T2	categorieVuurwerk	CategorieVuurwerk	0..*						
OpslagVuurwerkF4	hoeveelheidVuurwerk	Real	0..1						
OpslagtankPropaanPropeen_VasteAfstandGeenVergunningplicht	aantalBevoorradingen	BevoorradingCategorieOfExactAantal	0..1						
OpslagtankPropaanPropeen_VasteAfstandVergunningplicht	doorzetPerJaar	Real	0..1						
TankenCNG	aantalPersonenauto	Integer	0..1						
TankenCNG	aantalAutobussen	Integer	0..1						
TankenLNGVoertuigWerktuig	reactietijdNoodstop	ReactietijdNoodstopBooleanOfExact	0..1						
TankenLNGVoertuigWerktuig	bovenvulling	Boolean	0..1						
TankenLNGVoertuigWerktuig	verladingPomp	Boolean	0..1						
TankenLNGVoertuigWerktuig	voordruk	VoordrukBooleanOfExact	0..1						
TankenLPG	doorzetPerJaar	Real	0..1						
Windturbine_TeBerekenenAfstandGeenVergunningplicht	aantalWindturbines	Integer	1						
Windturbine_TeBerekenenAfstandVergunningplicht	aantalWindturbines	Integer	1						
Documentatie	naam	CharacterString	1						
Documentatie	link	CharacterString	1						
NEN3610ID	namespace	CharacterString	1						
NEN3610ID	lokaalID	CharacterString	1						
NEN3610ID	versie	CharacterString	0..1						
Stof	naam	CharacterString	1						
Stof	chemischeNaam	CharacterString	0..1						
Stof	CASnummer	CharacterString	0..1		Een CAS-registratienummer® bestaat uit maximaal 10 cijfers, die door koppeltekens in 3 groepen zijn gescheiden. Het eerste deel van het nummer, beginnend vanaf de linkerkant, bestaat uit 2 tot 7 cijfers; het tweede deel heeft 2 cijfers. Het laatste deel bestaat uit een enkel controlecijfer.	[0-9]{2,7}[\-]{1}[0-9]{2}[\-]{1}[0-9]{1}			
Stof	UNnummer	CharacterString	0..1		UN nummer bestaat uit 4 cijfers, beginnend vanaf 0004 (0000 tm 0003 zijn buiten gebruik, zie 'Range' bij 'UN number' op de Engelstalige Wikipedia pagina)	[0-9]{4}			
StofCategorie	categorieNaam	CharacterString	1						
StofCategorie	chemischeNaam	CharacterString	0..1						
Aandachtsgebied	afstandOfGeometrie	AfstandOfGeometrieAandachtsgebied	1						
Aandachtsgebied	categorieAandachtsgebied	CategorieAandachtsgebied	0..1						
Aandachtsgebied	maatgevendeStof	StofOfStofcategorie	1						
Aandachtsgebied	aardRisico	CharacterString	0..1						
AftappuntOpslagtank	geometrie	GM_Point	1						
AnderInsluitsysteemReferentie	geometrie	PuntOfVlak	1						
Bewaarplaats	geometrie	GM_Point	1						
Bewaarplaats	oppervlakteDeuropening	Real	0..1						
Bewerkingsruimte	geometrie	GM_Point	1						
BrandAandachtsgebied	typeBrand	TypeBrand	0..1						
BufferBewaarplaats	geometrie	GM_Point	1						
BuisleidingReferentie	geometrie	LijnOfMultiLijn	1						
BuisleidingReferentie	status	StatusBuisleiding	0..1						
BuisleidingReferentie	buisleidingIdentificatie	CharacterString	0..1						
BuisleidingReferentie	buisleidingCategorieStof	BuisleidingCategorieStof	0..*						
BuisleidingReferentie	buisleidingMateriaal	PipeMaterialTypeValue	0..1						
BuisleidingReferentie	buisleidingProduct	OilGasChemicalsProductTypeValue	0..1						
BuisleidingReferentie	wanddikte	Real	0..1						
BuisleidingReferentie	diameter	Real	0..1						
BuisleidingReferentie	bovenkantbuis	Real	0..1						
BuisleidingReferentie	nauwkeurigheidBovenkantbuis	NauwkeurigheidBovenkantbuis	0..1						
BuisleidingReferentie	maximaleWerkdruk	Real	0..1						
BuisleidingStelsel	eigenaar	CharacterString	1						
BuisleidingStelsel	idNummeraanduidingBAG	IdentificatieBAG	0..1						
BuisleidingStelsel	locatieomschrijving	CharacterString	0..1						
BuisleidingStelsel	naamExploitant	CharacterString	0..1						
BuisleidingStelsel	idNummeraanduidingBAGExploitant	IdentificatieBAG	0..1						
BuisleidingStelsel	kvkNummerExploitant	CharacterString	1..*		Een KvK-nummer bestaat uit een uniek 8 cijferig nummer.	[0-9]{8}			
BuisleidingStelsel	vestigingsnummerExploitant	CharacterString	0..1		Elke vestiging krijgt een uniek 12 cijferig vestigingsnummer.	[0-9]{12}			
CivielExplosieAandachtsgebied	typeCivExpAandachtsgebied	TypeExplosieAandachtsgebied	1						
ExplosieAandachtsgebied	bleve	Boolean	0..1						
ExterneVeiligheidsObject	identificatie	NEN3610ID	1						
ExterneVeiligheidsObject	bronobjectID	CharacterString	0..1						
ExterneVeiligheidsObject	bronhoudercode	CharacterString	1						
ExterneVeiligheidsObject	bronhouder	CharacterString	0..1						
ExterneVeiligheidsObject	documentInfo	Documentatie	0..1						
ExterneVeiligheidsObject	beginGeldigheid	DateTime	1						
ExterneVeiligheidsObject	eindGeldigheid	DateTime	0..1						
ExterneVeiligheidsObject	tijdstipRegistratie	DateTime	1						
ExterneVeiligheidsObject	eindRegistratie	DateTime	0..1						
Installatie	geometrie	PuntOfVlak	1						
KwetsbaarGebouw	categorieKwetsbaarheid	CategorieKwetsbaarheidGebouw	1						
KwetsbaarGebouw	gebruiksdoeleindenDetail	CharacterString	0..*						
KwetsbaarGebouw	/geometrie	GM_Surface	1						
KwetsbaarGebouw	idPandBAG	IdentificatieBAG	0..1						
KwetsbaarGebouw	idAdresseerbaarobjectBAG	IdentificatieBAG	0..1						
KwetsbaarGebouw	/gebruiksdoelenVerblijfsobjectBAG	Gebruiksdoeleinden	0..*						
KwetsbaarGebouw	/oppervlakteVerblijfsobjectBAG	Real	0..1						
KwetsbaarGebouw	populatie	Real	0..1						
KwetsbaarGebouw	kadastraleAanduiding	CharacterString	0..*		Hetzelfde als in de BRK.				
KwetsbareLocatie	categorieKwetsbaarheid	CategorieKwetsbaarheidLocatie	1						
KwetsbareLocatie	geometrie	VlakOfMultiVlak	1						
KwetsbareLocatie	populatie	Real	0..1						
KwetsbareLocatie	kadastraleAanduiding	CharacterString	0..*		Hetzelde als in de BRK.				
Leiding	geometrie	PuntOfLijn	1						
Leiding	bovengronds	Boolean	0..1						
Leiding	diameter	Real	0..1						
LocatieActiviteit	bedrijfsnaam	CharacterString	1						
LocatieActiviteit	geometrie	VlakOfMultiVlak	1						
LocatieActiviteit	idNummeraanduidingBAG	IdentificatieBAG	0..1						
LocatieActiviteit	locatieomschrijving	CharacterString	0..1						
LocatieActiviteit	naamExploitant	CharacterString	1						
LocatieActiviteit	omschrijving	CharacterString	0..1						
LocatieActiviteit	eigenaar	CharacterString	0..1						
LocatieActiviteit	idNummeraanduidingBAGExploitant	IdentificatieBAG	1						
LocatieActiviteit	kvkNummerExploitant	CharacterString	1..*		Het KvK-nummer bestaat uit 8 cijfers.	[0-9]{8}			
LocatieActiviteit	kvkNummerAanvrager	CharacterString	1		Het KvK-nummer bestaat uit 8 cijfers.	[0-9]{8}			
LocatieActiviteit	vestigingsnummerExploitant	CharacterString	0..1		Elke vestiging krijgt een uniek 12 cijferig vestigingsnummer.	[0-9]{12}			
LocatieActiviteit	vestigingsnummerAanvrager	CharacterString	0..1		Elke vestiging krijgt een uniek 12 cijferig vestigingsnummer.	[0-9]{12}			
LocatieBasisnet	geometrie	LijnOfMultiLijn	1						
LocatieBasisnet	type	CharacterString	1						
LocatieBasisnet	route	CharacterString	1						
Machinekamer	geometrie	PuntOfVlak	1						
Machinekamer	aantalKoelinstallaties	Integer	0..1						
Machinekamer	opstellingsUitvoering	OpstellingsUitvoeringAmmoniak	0..1						
Machinekamer	pompbeveiliging	Boolean	0..1						
MilitairExplosieAandachtsgebied	typeMilitairExpAandachtsgebied	TypeExplosieAandachtsgebied	1						
OpslagReferentie	geometrie	PuntOfVlak	1						
OpslagReferentie	typeOpslagReferentie	TypeOpslagReferentie	1						
OpslagReferentie	bovengronds	Boolean	0..1						
OpslagReferentie	inhoud	Real	0..1						
OpslagReferentie	oppervlakte	Real	0..1						
OpstelplaatsVoertuig	geometrie	PuntOfVlak	1						
OverigeContour	aardRisico	CharacterString	0..1						
OverigeContour	typeOverigeContour	TypeOverigeContour	1						
OverigeContour	afstandOfGeometrie	AfstandOfGeometrieOverigeContour	1						
OverigeContour	maatgevendeStof	StofOfStofcategorie	1						
PRContour	afstandOfGeometrie	AfstandOfGeometriePRContour	1						
PRContour	typePlaatsgebondenRisico	TypePlaatsgebondenRisico	1						
PRContour	maatgevendeStof	StofOfStofcategorie	1						
PRContour	aardRisico	CharacterString	0..1						
ReferentieEVContour	omschrijving	CharacterString	0..1						
SamengesteldeReferentie	geometrie	PuntOfVlak	1						
SevesoReferentie	geometrie	PuntOfVlak	1						
SpoorVervoer	geometrie	LijnOfMultiLijn	1						
SpoorVervoer	trajectcode	CharacterString	1						
SpoorVervoer	referentiesoort	RepresentatieLijn	1						
Tankzuil	geometrie	GM_Point	1						
Vulpunt	geometrie	GM_Point	1						
WaterVervoer	geometrie	LijnOfMultiLijn	1						
WaterVervoer	watervakcode	CharacterString	1						
WaterVervoer	referentiesoort	RepresentatieLijn	1						
WegAs	geometrie	LijnOfMultiLijn	1						
WegVervoer	geometrie	LijnOfMultiLijn	1						
WegVervoer	wegvakcode	CharacterString	1						
WegVervoer	referentiesoort	RepresentatieLijn	1						
Wegen	geometrie	LijnOfMultiLijn	1						
Wegen	route	CharacterString	1						
Windturbine	geometrie	GM_Point	1						
Windturbine	ashoogte	Real	0..1						
Windturbine	rotordiameter	Real	0..1						
Windturbine	vermogen	Real	0..1						
Windturbine	merk	CharacterString	0..1						
Windturbine	type	CharacterString	0..1						
Windturbine	materiaalMast	CharacterString	0..1						
Windturbine	lengteGondel	Real	0..1						
Windturbine	breedteGondel	Real	0..1						
Windturbine	hoogteGondel	Real	0..1						
Windturbine	massaGondel	Real	0..1						
Windturbine	pandIdentificatie	IdentificatieBAG	1						
Windturbine	zwaartepunt	Real	0..1						
Windturbine	nominaalToerental	Real	0..1						
Windturbine	maxWerpafstandNominaal	Real	0..1						
Windturbine	maxWerpafstandOvertoeren	Real	0..1						
AfstandOfGeometrieAandachtsgebied	geometrie	VlakOfMultiVlak	1						
AfstandOfGeometrieAandachtsgebied	afstand	Real	1						
AfstandOfGeometrieOverigeContour	geometrie	PuntLijnVlakMulti	1						
AfstandOfGeometrieOverigeContour	afstand	Real	1						
AfstandOfGeometriePRContour	geometrie	PuntLijnVlakMulti	1						
AfstandOfGeometriePRContour	afstand	Real	1						
BevoorradingCategorieOfExactAantal	categorie	CategorieAantalBevoorradingen	1						
BevoorradingCategorieOfExactAantal	exactAantal	Integer	1						
ReactietijdNoodstopBooleanOfExact	exactAantalSeconden	Integer	1						
